ETF,Underlying,Leverage,cagr_port_hist,LevType,borrow_current,shares_available,borrow_spiking,cagr_positive,borrow_leq_cap,borrow_gt_cap,whitelisted,exclude_borrow_gt_cap,exclude_no_shares,exclude_borrow_spike,include_for_algo
AAPU,AAPL,2.0,0.02723005615839,2x,0.041828000000000004,65000,False,True,True,False,False,False,False,False,True
AMUU,AMD,2.0,0.0522670457432024,2x,0.009974000000000004,65000,False,True,True,False,False,False,False,False,True
AMZU,AMZN,2.0,0.0410558628534061,2x,0.074268,150000,False,True,True,False,False,False,False,False,True
AVL,AVGO,2.0,-0.0207378972545139,2x,0.159404,450000,False,False,False,True,False,True,False,False,False
BITX,IBIT,2.0,0.0663596298468758,2x,0.087284,650000,False,True,True,False,False,False,False,False,True
BOEU,BA,2.0,-0.0094595773612496,2x,0.13251800000000002,75000,False,False,False,True,False,True,False,False,False
BRKU,BRK-B,2.0,0.03019831124213,2x,,0,False,True,False,True,False,True,True,False,False
BULU,BULL,2.0,0.0261628281364676,2x,0.37253400000000003,2000,False,True,False,True,False,True,False,False,False
CSCL,CSCO,2.0,0.0091189411694998,2x,0.09386800000000001,8000,False,True,True,False,False,False,False,False,True
ELIL,LLY,2.0,0.0297973193693044,2x,0.054928,10000,False,True,True,False,False,False,False,False,True
ETHU,ETHA,2.0,0.1069904570262443,2x,0.019436,1300000,False,True,True,False,False,False,False,False,True
FRDU,F,2.0,-0.0422478323294731,2x,0.20211800000000002,200,False,False,False,True,False,True,True,False,False
GGLL,GOOGL,2.0,0.0605271229335995,2x,0.03257,300000,False,True,True,False,False,False,False,False,True
GMEU,GME,2.0,-0.0547467208781747,2x,0.52662,100,False,False,False,True,False,True,True,False,False
LMTL,LMT,2.0,0.0422523546445534,2x,0.025266,3000,False,True,True,False,False,False,False,False,True
METU,META,2.0,0.0330418542957022,2x,0.013627999999999998,400,False,True,True,False,False,False,True,False,True
MUU,MU,2.0,0.0300826769560713,2x,0.057440000000000005,100000,False,True,True,False,False,False,False,False,True
MSFU,MSFT,2.0,0.0635682776348538,2x,0.045214000000000004,40000,False,True,True,False,False,False,False,False,True
MSTX,MSTR,2.0,0.2738992726644049,2x,,0,False,True,False,True,True,False,True,False,True
NVDU,NVDA,2.0,0.0891107074502173,2x,0.094556,250000,False,True,True,False,False,False,False,False,True
NFXL,NFLX,2.0,0.0482498077960964,2x,0.018008000000000003,55000,False,True,True,False,False,False,False,False,True
PLTU,PLTR,2.0,0.050508129082452,2x,0.023502,100000,False,True,True,False,False,False,False,False,True
PALU,PANW,2.0,0.0567333330362382,2x,0.0,9000,False,True,True,False,False,False,False,False,True
QCMU,QCOM,2.0,0.0564912021192247,2x,0.0,9000,False,True,True,False,False,False,False,False,True
SHPU,SHOP,2.0,-0.0110819372312257,2x,0.142582,25000,False,False,False,True,False,True,False,False,False
TSMX,TSM,2.0,-0.1936968637276591,2x,0.556548,650000,False,False,False,True,False,True,False,False,False
TSLL,TSLA,2.0,-0.0066044163065289,2x,0.07256599999999999,8000000,False,False,True,False,False,False,False,False,True
XOMX,XOM,2.0,0.0221662528075599,2x,0.067996,1000,False,True,True,False,False,False,False,False,True
XXRP,GXRP,2.0,0.151180078606425,2x,0.02396,200000,False,True,True,False,False,False,False,False,True
MSTU,MSTR,2.0,-0.2443430436486772,2x,0.980416,4000,False,False,False,True,True,False,False,False,True
NVDX,NVDA,2.0,0.055771196790153,2x,,0,False,True,False,True,False,True,True,False,False
TSLT,TSLA,2.0,0.0371753585331899,2x,0.091128,9000,False,True,True,False,False,False,False,False,True
BTCL,IBIT,2.0,0.0717873600729299,2x,0.042484,40000,False,True,True,False,False,False,False,False,True
ETU,ETHA,2.0,0.0518448480931217,2x,0.069144,30000,False,True,True,False,False,False,False,False,True
CCUP,CRCL,2.0,-0.1866402275965671,2x,0.588632,100000,False,False,False,True,False,True,False,False,False
CRWU,CRWV,2.0,-0.0406369799249564,2x,0.24812,95000,False,False,False,True,False,True,False,False,False
AAPX,AAPL,2.0,-0.0015303399209547,2x,0.126266,15000,False,False,False,True,False,True,False,False,False
GOOX,GOOGL,2.0,0.0359241397968794,2x,0.050324,50000,False,True,True,False,False,False,False,False,True
MSFX,MSFT,2.0,0.0400035885926648,2x,0.05339200000000001,20000,False,True,True,False,False,False,False,False,True
NFLU,NFLX,2.0,0.054481116421279,2x,0.014039999999999999,35000,False,True,True,False,False,False,False,False,True
ROBN,HOOD,2.0,0.002492770732781,2x,0.16305599999999998,100000,False,True,False,True,False,True,False,False,False
ARMU,ARM,2.0,0.0361575277098307,2x,,0,False,True,False,True,False,True,True,False,False
DJTU,DJT,2.0,-0.063353440205553,2x,0.509274,100000,False,False,False,True,False,True,False,False,False
RBLU,RBLX,2.0,-0.0781798287086344,2x,0.32712600000000003,35000,False,False,False,True,False,True,False,False,False
SNOU,SNOW,2.0,-0.0324089326227379,2x,0.18813600000000003,15000,False,False,False,True,False,True,False,False,False
SMUP,SMR,2.0,-0.0437777331440784,2x,0.25097200000000003,35000,False,False,False,True,False,True,False,False,False
DKUP,DKNG,2.0,0.0384122538636126,2x,0.061394000000000004,400,False,True,True,False,False,False,True,False,True
GLXU,GLXY,2.0,0.0141471602326317,2x,0.18431000000000003,55000,False,True,False,True,True,False,False,False,True
AFRU,AFRM,2.0,0.0860940213272134,2x,,0,False,True,False,True,False,True,True,False,False
AXUP,AXON,2.0,0.0132290257685061,2x,0.139538,900,False,True,False,True,False,True,True,False,False
KTUP,KTOS,2.0,0.0169781582525307,2x,0.21201,1000,False,True,False,True,False,True,False,False,False
TTDU,TTD,2.0,-0.0384508773110312,2x,0.316576,4000,False,False,False,True,False,True,False,False,False
BKNU,BKNG,2.0,0.0587424390109891,2x,0.09386800000000001,700,False,True,True,False,False,False,True,False,True
PXIU,UPXI,2.0,-0.1358304170271113,2x,0.7307380000000001,100000,False,False,False,True,False,True,False,False,False
BMNU,BMNR,2.0,-0.0733638907314552,2x,0.7676940000000001,10000,False,False,False,True,False,True,False,False,False
CIFU,CIFR,2.0,0.0660413971173246,2x,0.24836000000000003,3000,False,True,False,True,False,True,False,False,False
SOLX,GSOL,2.0,0.0555599273684455,2x,,0,False,True,False,True,False,True,True,False,False
XRPK,GXRP,2.0,0.1046334063681493,2x,,0,False,True,False,True,False,True,True,False,False
APLX,APLD,2.0,-0.0750953371056065,2x,0.41255000000000003,3000,False,False,False,True,False,True,False,False,False
APPX,APP,2.0,0.0876764923234687,2x,0.06931199999999998,65000,False,True,True,False,False,False,False,False,True
ARCX,ACHR,2.0,-0.011348806808664,2x,0.23475200000000002,5000,False,False,False,True,False,True,False,False,False
ASTX,ASTS,2.0,0.0173887093003264,2x,0.12536599999999998,85000,False,True,False,True,False,True,False,False,False
AURU,AUR,2.0,0.1886189200811134,2x,,0,False,True,False,True,False,True,True,False,False
BEX,BE,2.0,-0.0794815769440112,2x,0.290442,30000,False,False,False,True,False,True,False,False,False
BLSX,BLSH,2.0,-0.0355730141314871,2x,0.06278399999999999,5000,False,False,True,False,False,False,False,False,True
CEGX,CEG,2.0,0.0288766228592125,2x,0.028502,10000,False,True,True,False,False,False,False,False,True
CELT,CELH,2.0,0.0419308091511791,2x,,0,False,True,False,True,False,True,True,False,False
CLSX,CLSK,2.0,-0.0375396817763109,2x,0.28389600000000004,50000,False,False,False,True,False,True,False,False,False
COZX,CORZ,2.0,0.0769294741504771,2x,0.268656,7000,False,True,False,True,False,True,False,False,False
CRDU,CRDO,2.0,-0.020682091865388,2x,0.195244,70000,False,False,False,True,False,True,False,False,False
CSEX,CLS,2.0,-0.0589112489723222,2x,0.150052,10000,False,False,False,True,False,True,False,False,False
CWVX,CRWV,2.0,-0.0513848981743823,2x,0.033638,800000,False,False,True,False,False,False,False,False,True
DASX,DASH,2.0,-0.1488790220971283,2x,0.41861800000000005,2000,False,False,False,True,False,True,False,False,False
DOGD,DDOG,2.0,0.0240521433063662,2x,,0,False,True,False,True,False,True,True,False,False
ENPX,ENPH,2.0,-0.2094695425541577,2x,0.668432,7000,False,False,False,True,False,True,False,False,False
FLYT,FLY,2.0,0.0819664203183303,2x,0.161864,3000,False,True,False,True,False,True,False,False,False
GEVX,GEV,2.0,-0.094205703255336,2x,0.29149400000000003,50000,False,False,False,True,False,True,False,False,False
GSX,GS,2.0,-0.0435790859655799,2x,0.200938,700,False,False,False,True,False,True,True,False,False
IREX,IREN,2.0,0.023919682469089,2x,0.190286,70000,False,True,False,True,False,True,False,False,False
JOBX,JOBY,2.0,0.0980275700717767,2x,0.133044,45000,False,True,False,True,False,True,False,False,False
LABX,ALAB,2.0,0.0296472871215851,2x,0.034414,150000,False,True,True,False,False,False,False,False,True
LRCU,LRCX,2.0,-0.1456134486257608,2x,0.38073199999999996,200,False,False,False,True,False,True,True,False,False
LYFX,LYFT,2.0,-0.0863095103357199,2x,0.35145,400,False,False,False,True,False,True,True,False,False
MDBX,MDB,2.0,-0.0174023308377262,2x,0.131756,9000,False,False,False,True,False,True,False,False,False
NEBX,NBIS,2.0,-0.0281542748329794,2x,0.31191,100000,False,False,False,True,False,True,False,False,False
NETX,NET,2.0,-0.0203384106848697,2x,0.175104,700,False,False,False,True,False,True,True,False,False
NNEX,NNE,2.0,0.0024592442341242,2x,,0,False,True,False,True,False,True,True,False,False
NVTX,NVTS,2.0,0.0328463980416748,2x,0.296918,10000,False,True,False,True,False,True,False,False,False
NWMX,NEM,2.0,0.0311389331204123,2x,,0,False,True,False,True,False,True,True,False,False
OKTX,OKTA,2.0,-0.0403392541936856,2x,0.186504,300,False,False,False,True,False,True,True,False,False
OPEX,OPEN,2.0,-0.0768048718774317,2x,0.5552320000000001,100000,False,False,False,True,False,True,False,False,False
PONX,PONY,2.0,-0.0962803690802382,2x,0.41125599999999995,20000,False,False,False,True,False,True,False,False,False
QBTX,QBTS,2.0,-0.142340234559235,2x,0.5471,80000,False,False,False,True,False,True,False,False,False
QSX,QS,2.0,0.3586942586537098,2x,0.190052,2000,False,True,False,True,False,True,False,False,False
QUBX,QUBT,2.0,-0.0918419299447985,2x,0.47531999999999996,20000,False,False,False,True,False,True,False,False,False
RGTU,RGTI,2.0,-0.1597224007964839,2x,0.533182,25000,False,False,False,True,False,True,False,False,False
SMU,SMR,2.0,0.0049427349079949,2x,0.191342,75000,False,True,False,True,False,True,False,False,False
SNPX,SNPS,2.0,-0.0360419104754534,2x,0.17265000000000003,3000,False,False,False,True,False,True,False,False,False
SRPU,SRPT,2.0,0.0167879214279751,2x,0.320922,15000,False,True,False,True,False,True,False,False,False
TARK,ARKK,2.0,-0.4523648803609709,2x,1.298286,2000,False,False,False,True,False,True,False,False,False
TEMT,TEM,2.0,0.2472168867416477,2x,0.041400000000000006,50000,False,True,True,False,False,False,False,False,True
UNX,U,2.0,-0.0445485684357864,2x,0.17126999999999998,900,False,False,False,True,False,True,True,False,False
UPSX,UPST,2.0,0.0119552107281177,2x,0.137168,55000,False,True,False,True,False,True,False,False,False
VOYX,VOYG,2.0,0.1730752689180359,2x,,0,False,True,False,True,False,True,True,False,False
WULX,WULF,2.0,0.0206135574586217,2x,0.223426,15000,False,True,False,True,False,True,False,False,False
AALG,AAL,2.0,-0.0253298801273071,2x,0.18046800000000002,4000,False,False,False,True,False,True,False,False,False
ABNG,ABNB,2.0,-0.0235468185056677,2x,0.14954,100,False,False,False,True,False,True,True,False,False
ADBG,ADBE,2.0,-0.1034702688160736,2x,0.35248399999999996,250000,False,False,False,True,False,True,False,False,False
AMDG,AMD,2.0,0.0060172917604279,2x,0.110318,5000,False,True,True,False,False,False,False,False,True
ARMG,ARM,2.0,-0.1279402880400579,2x,0.39576999999999996,65000,False,False,False,True,False,True,False,False,False
ASMG,ASML,2.0,0.0489863909557464,2x,0.037933999999999996,1000,False,True,True,False,False,False,False,False,True
