#BOF|2025.12.28|15:14:44
#SYM|CUR|NAME|CON|ISIN|REBATERATE|FEERATE|AVAILABLE|FIGI|
IVVM|USD|ISHAR LC MD QUR LD ETF-US IN|639605032|XXXXXXX87023|-8.8272|12.4672|30000|BBG01H6XP5X7|
IVVW|USD|ISHARES S&amp;P 500 BUYWRITE ETF|690418932|XXXXXXXG7117|-3.5801|7.2201|20000|BBG01LY49VL5|
IVW|USD|ISHARES S&amp;P 500 GROWTH ETF|8991552|XXXXXXX73099|3.1695|0.4705|750000|BBG000BWDHF8|
IVZ|USD|INVESCO LTD|47550606|BMG491BT1088|3.2319|0.4081|4700000|BBG000BY2Y78|
IWAL|USD|IWALLET CORP|162332958|XXXXXXXR1041|3.3900|0.2500|600000|BBG001LZ5XR9|
IWB|USD|ISHARES RUSSELL 1000 ETF|8991549|XXXXXXX76225|3.0803|0.5597|200000|BBG000CF7ZN2|
IWC|USD|ISHARES MICRO-CAP ETF|35445810|XXXXXXX88691|-1.3590|4.9990|4000|BBG000HMYVY9|
IWD|USD|ISHARES RUSSELL 1000 VALUE E|8991562|XXXXXXX75987|2.9310|0.7090|400000|BBG000CG9VP5|
IWF|USD|ISHARES RUSSELL 1000 GROWTH|8991557|XXXXXXX76142|3.0718|0.5682|350000|BBG000BTR7Z0|
IWL|USD|ISHARES RUSSELL TOP 200 ETF|69046163|XXXXXXX94467|-0.0109|3.6509|4000|BBG000PBF2B4|
IWLG|USD|NYLI WINSLOW LRG CAP GRW ETF|569541077|XXXXXXXF7693|-77.0231|80.6631|7000|BBG018CD2V80|
IWM|USD|ISHARES RUSSELL 2000 ETF|9579970|XXXXXXX76555|3.1701|0.4699|1500000|BBG000CGC9C4|
IWMI|USD|NEOS RUSSELL 2000 HIGH INC|712143742|XXXXXXXH6348|0.9153|2.7247|95000|BBG01NH9PL79|
IWML|USD|ETRACS 2X SIZE FACTR TR|469724290|XXXXXXXV4041|-5.1873|8.8273|100|BBG00Z5LDPJ0|
IWMW|USD|ISHARES RUSSELL 2000 BUYWRIT|690418929|XXXXXXXG6952|-1.5166|5.1566|10000|BBG01LY4L7Z9|
IWMY|USD|DEFIANCE R2000 WEEKLY DISTRIBU|716342254|XXXXXXXJ1390|1.1860|2.4541|100000|BBG01JZ6HCY3|
IWN|USD|ISHARES RUSSELL 2000 VALUE E|10435407|XXXXXXX76308|2.8557|0.7843|150000|BBG000C16Z27|
IWO|USD|ISHARES RUSSELL 2000 GROWTH|10435402|XXXXXXX76480|0.7482|2.8918|5000|BBG000C17LW4|
IWP|USD|ISHARES RUSSELL MID-CAP GROW|13002605|XXXXXXX74816|1.8998|1.7402|300000|BBG000BW05W9|
IWR|USD|ISHARES RUSSELL MID-CAP ETF|13002600|XXXXXXX74998|2.8599|0.7801|650000|BBG000JWXHK2|
IWS|USD|ISHARES RUSSELL MID-CAP VALU|13002611|XXXXXXX74733|3.0294|0.6106|100000|BBG000JWZ6F0|
IWSH|USD|WRIGHT INVESTORS' SERVICE HO|122207227|XXXXXXX51003|3.3900|0.2500|450000|BBG000Q7GQ73|
IWSY|USD|IMAGEWARE SYSTEMS INC|7979307|XXXXXXXS1087|0.3704|3.2696|3700000|BBG000BV1LP3|
IWV|USD|ISHARES RUSSELL 3000 ETF|10205675|XXXXXXX76894|3.1886|0.4514|2100000|BBG000BWDVW8|
IWX|USD|ISHARES RUSSELL TOP 200 VALU|69046900|XXXXXXX94202|-0.7084|4.3484|15000|BBG000PBGXC4|
IWY|USD|ISHARES RUSSELL TOP 200 GROW|69046928|XXXXXXX94384|2.2190|1.4210|150000|BBG000PBGFP9|
IX|USD|ORIX - SPONSORED ADR|6608368|XXXXXXX01015|3.2218|0.4182|400000|BBG000BBBYZ7|
IXAQF|USD|IX ACQUISITION CORP-A|528956299|KYG5000D1034|-38.3388|41.9788|600|BBG012LRQLP9|
IXC|USD|ISHARES GLOBAL ENERGY ETF|13832153|XXXXXXX73412|1.2915|2.3485|150000|BBG000L74NQ7|
IXEH|USD|IX ENERGY HOLDINGS INC|57531057|XXXXXXXX1046|3.3900|0.2500|200000|BBG000BP1XJ7|
IXG|USD|ISHARES GLOBAL FINANCIALS ET|13832156|XXXXXXX73339|-0.9708|4.6108|85000|BBG000L77B26|
IXHL|USD|INCANNEX HEALTHCARE INC|668803560|XXXXXXXF1093|-3.1674|6.8074|8700000|BBG01J0814Y2|
IXJ|USD|ISHARES GLOBAL HEALTHCARE ET|13832282|XXXXXXX73255|-0.2644|3.9044|55000|BBG000L77VV0|
IXMOU|USD|IXI MOBILE INC|45182624|XXXXXXX62001|3.3900|0.2500|1000||
IXN|USD|ISHARES GLOBAL TECH ETF|13832150|XXXXXXX72919|2.7759|0.8641|400000|BBG000BBTL04|
IXOG|USD|INDEX OIL &amp; GAS INC|33717021|XXXXXXX41040|3.3900|0.2500|950000|BBG000D79P59|
IXP|USD|ISHARES GLOBAL COMM SERVICES|6604147|XXXXXXX72752|-5.9936|9.6336|250000|BBG000L7MB74|
IXQUF|USD|IX ACQUISITION CORP|518943145|KYG5000D1299|2.1760|1.4640|100|BBG012LKFQK0|
IXUS|USD|ISHARES CORE INTL STOCK ETF|115826952|XXXXXXXF8344|3.2176|0.4224|450000|BBG003H6TM38|
IYC|USD|ISHARES US CONSUMER DISCRETI|10190337|XXXXXXX75805|-0.3519|3.9919|6000|BBG000BXY2M8|
IYE|USD|ISHARES U.S. ENERGY ETF|10190340|XXXXXXX77967|-2.0325|5.6725|20000|BBG000BXXRG1|
IYF|USD|ISHARES U.S. FINANCIALS ETF|9579962|XXXXXXX77884|0.7724|2.8676|55000|BBG000CGFWK1|
IYG|USD|ISHARES U.S. FINANCIAL SERVI|9930889|XXXXXXX77702|2.2073|1.4327|45000|BBG000BXXGQ4|
IYH|USD|ISHARES U.S. HEALTHCARE ETF|10753238|XXXXXXX77629|0.2505|3.3895|75000|BBG000BXX310|
IYJ|USD|ISHARES U.S. INDUSTRIALS ETF|10753241|XXXXXXX77546|1.1589|2.4811|20000|BBG000BXWM82|
IYK|USD|ISHARES US CONSUMER STAPLES|10753235|XXXXXXX78122|-1.3697|5.0097|200000|BBG000BTYS13|
IYLD|USD|ISHARES MORNINGSTAR MULTI-AS|105507912|XXXXXXXF8757|-0.1221|3.7621|15000|BBG002VD61G6|
IYM|USD|ISHARES U.S. BASIC MATERIALS|10753224|XXXXXXX78387|2.2749|1.3651|15000|BBG000BXYFZ5|
IYR|USD|ISHARES US REAL ESTATE ETF|10209369|XXXXXXX77397|2.0662|1.5738|900000|BBG000BXW687|
IYRI|USD|NEOS REAL EST HGH INC ETF|754102235|XXXXXXXH6181|-1.0171|4.6571|100000|BBG01RR003S2|
IYT|USD|ISHARES US TRANSPORTATION ET|26337175|XXXXXXX71929|-0.8364|4.4764|65000|BBG000BPNZB6|
IYW|USD|ISHARES USTECHNOLOGY ETF|10158652|XXXXXXX77215|3.0052|0.6348|200000|BBG000CF9GL4|
IYXI|USD|INYX INC|30212956|XXXXXXX81013|3.3900|0.2500|10000|BBG000FK0RK6|
IYY|USD|ISHARES DOW JONES U.S. ETF|10205678|XXXXXXX78460|3.2165|0.4235|20000|BBG000BXVV29|
IYZ|USD|ISHARES US TELECOMMUNICATION|9579981|XXXXXXX77132|-1.2798|4.9198|80000|BBG000BWF7P7|
IZEA|USD|IZEA WORLDWIDE INC|637485480|XXXXXXXH2040|0.8071|2.8329|300000|BBG0018XMPL3|
IZM|USD|ICZOOM GROUP INC -CLASS A|619557147|KYG4760B1005|-2.1525|5.7925|80000|BBG01293JHF4|
IZNN|USD|IZON NETWORK INC|289901750|XXXXXXXN1054|3.3900|0.2500|2900000|BBG000CRQTY7|
IZOZF|USD|IZOTROPIC CORP|356937213|CA46604F1099|-1.5688|5.2088|150000|BBG00LVGR067|
IZRL|USD|ARK ISRAEL INNOVATIVE TECHNO|298541826|XXXXXXXQ6098|3.1306|0.5094|60000|BBG00JDV6F05|
J|USD|JACOBS SOLUTIONS INC|582332987|XXXXXXXL1089|3.2785|0.3615|1900000|BBG019C1BQR4|
JAAA|USD|JANUS HENDERSON AAA CLO ETF|450862181|XXXXXXXU8457|2.5167|1.1233|450000|BBG00XX897J8|
JABS|USD|JANUS HDRSN ASS BKD SEC ETF|801327615|XXXXXXXU6881|-51.1800|54.8200|500|BBG01W91MNT0|
JACK|USD|JACK IN THE BOX INC|6477825|XXXXXXX71091|3.0714|0.5686|1300000|BBG000GZYVY1|
JACS|USD|JACKSON ACQUISITION CO-CL A|756555620|KYG4992A1105|-27.5003|31.1403|400000|BBG01RXZJLR9|
JACS U|USD|JACKSON ACQUISITION CO II|745721507|KYG4992A2012|2.4200|1.2200|300|BBG01Q324BS4|
JADA|USD|JADE ART GROUP INC|51202337|XXXXXXX12068|3.3900|0.2500|100000|BBG000QQX621|
JAGGF|USD|JAGUAR MINING INC|441986547|CA47009M8896|-1.8904|5.5304|450000|BBG000BZ6GF1|
JAGL|USD|JAAG ENTERPRISES LTD|722740654|XXXXXXX01009|3.3900|0.2500|70000|BBG01N1MW7L4|
JAGR|USD|GREEN STREET CAPITAL CORP|77111286|XXXXXXXA1034|3.3900|0.2500|25000|BBG000BC6BZ1|
JAGX|USD|JAGUAR HEALTH INC|770378614|XXXXXXXC8881|-14.8117|18.4517|55000|BBG005Z20406|
JAJL|USD|INNOVATOR EDP ETF - 6M JA-JY|713229020|XXXXXXXY2440|1.6690|1.9710|75000|BBG01NHZZ8V2|
JAKK|USD|JAKKS PACIFIC INC|433117881|XXXXXXXE4035|3.2156|0.4244|450000|BBG000GPK708|
JALC|USD|JOHN ADAMS LIFE CORP|79757985|XXXXXXX61027|3.3900|0.2500|300|BBG000BMCLT7|
JAMF|USD|JAMF HOLDING CORP|435899603|XXXXXXXL1052|3.2833|0.3567|3100000|BBG00VSYYVB8|
JAMN|USD|JAMMIN JAVA CORP|68650320|XXXXXXX11089|3.3900|0.2500|>10000000|BBG000QWFG80|
JANL|USD|JANEL CORP|191456849|XXXXXXXR1095|3.3900|0.2500|200|BBG000BCV577|
JANP|USD|PGIM S&amp;P 500 BUFFER 12 ETF -|675152131|XXXXXXXN1063|NA|NA|600|BBG01KS9BVN8|
JANU|USD|ALLIANZIM US BF15 UNCAP JAN|751742306|XXXXXXXH5138|-0.4378|4.0778|9000|BBG01RF4NN26|
JANW|USD|ALLIANZIM US LC BUFFER20 JAN|463451429|XXXXXXXH8025|1.1981|2.4419|1000|BBG00YPGMCV7|
JANX|USD|JANUX THERAPEUTICS INC|496085619|XXXXXXXJ1051|3.1952|0.4448|1200000|BBG00ZHSKH11|
JANZ|USD|TRUESHARES STRUCT OUTC JAN|805705223|XXXXXXX26815|-1.9559|5.5959|500|BBG01WJZL4B6|
JAPAY|USD|JAPAN TOBACCO INC-UNSPON ADR|166961380|XXXXXXX52054|-3.0598|6.6998|45000|BBG0074G7168|
JAPN|USD|HORIZON KINETICS JAPAN OWNER|783564847|XXXXXXXH8354|0.3405|3.2995|35000|BBG01TYJL137|
JAPSY|USD|JAPAN AIRLINES CO-UNP ADR|137938805|XXXXXXX81090|-0.4378|4.0778|80000|BBG005K4M6Y2|
JAVA|USD|JPMORGAN ACTIVE VALUE ETF|518627867|XXXXXXXQ1673|0.4649|3.1751|2000|BBG012NLLBJ4|
JAZZ|USD|JAZZ PHARMACEUTICALS PLC|100430853|IE00B4Q5ZN47|3.3510|0.2891|900000|BBG000G9CGL0|
JBAXY|USD|JULIUS BAER GROUP LTD-UN ADR|75218897|XXXXXXXC1080|2.9230|0.7170|90000|BBG000PT2PG3|
JBBB|USD|JANUS HENDERSON B-BBB CLO ET|537454625|XXXXXXXU7533|1.8411|1.7989|400000|BBG014GFHHG6|
JBDI|USD|JBDI HOLDINGS LTD|725492228|KYG508831008|-7.4651|11.1051|100000|BBG01LF2M2Z4|
JBFCY|USD|JOLLIBEE FOODS CORP-UNSP ADR|107259356|XXXXXXX01010|-9.3684|13.0084|8000|BBG002Z9CBH1|
JBGS|USD|JBG SMITH PROPERTIES|280803967|XXXXXXXV1008|3.2670|0.3730|2400000|BBG00F5FNKJ7|
JBHT|USD|HUNT (JB) TRANSPRT SVCS INC|270825|XXXXXXX81077|3.2319|0.4081|1900000|BBG000BMDBZ1|
JBI|USD|JANUS INTERNATIONAL GROUP IN|495752311|XXXXXXXN1063|3.3510|0.2891|3800000|BBG0100SH2C0|
JBIO|USD|JADE BIOSCIENCES INC|780402000|XXXXXXX42061|-0.4378|4.0778|50000|BBG00WGHZFH4|
JBK|USD|LEHMAN ABS CORP CRP BACKED FLOATING RATE GOLDMAN|29857963|XXXXXXXK8595|-30.8126|34.4526|6000|BBG000007P32|
JBL|USD|JABIL INC|4457282|XXXXXXX31039|3.2795|0.3605|1500000|BBG000BJNGN9|
JBLU|USD|JETBLUE AIRWAYS CORP|14765981|XXXXXXX31016|3.3510|0.2891|6500000|BBG000BRQ6L2|
JBND|USD|JPMORGAN ACTIVE BOND ETF|659068180|XXXXXXXQ7161|-1.5075|5.1475|90000|BBG01J4V60G0|
JBS|USD|JBS NV-A|790695214|NL0015002J37|3.2763|0.3637|7400000|BBG01V30BCK5|
JBSS|USD|JOHN B. SANFILIPPO &amp; SON INC|270840|XXXXXXX21078|3.2689|0.3711|100000|BBG000CHPMY5|
JBTC|USD|JBT BANCORP INC|489540504|XXXXXXXB1089|2.9684|0.6716|300|BBG010SXP640|
JBTM|USD|JBT MAREL CORP|52619008|XXXXXXX91049|3.3565|0.2835|550000|BBG000VLBCQ1|
JBZY|USD|JB&amp;ZJMY HOLDING CO INC|310522396|XXXXXXX22099|3.3900|0.2500|60000|BBG000DNDXJ7|
JCAP|USD|JEFFERSON CAPITAL INC|794915823|XXXXXXXR1032|2.2133|1.4267|800000|BBG01V5CXDX7|
JCE|USD|NUVEEN CORE EQUITY ALPHA|43556526|XXXXXXXX1072|-1.2835|4.9235|25000|BBG000D154V4|
JCHI|USD|JPMORGAN ACTIVE CHINA ETF|619557154|XXXXXXXQ8805|-4.1692|7.8092|9000|BBG01F7SD190|
JCI|USD|JOHNSON CONTROLS INTERNATION|244164913|IE00BY7QL619|3.2319|0.4081|7000000|BBG000BVWLJ6|
JCPB|USD|JPMORGAN CORE PLUS BOND ETF|351775799|XXXXXXXQ6706|1.8625|1.7775|200000|BBG00N6W8WP6|
JCPI|USD|JP MORGAN INFLATION MGD BOND|555500165|XXXXXXXQ1040|-0.4868|4.1268|30000|BBG016CBMX82|
JCSE|USD|JE CLEANTECH HOLDINGS LTD|659766899|KYG508752055|-70.0968|73.7368|70000|BBG015ZJWKX1|
JCTC|USD|JEWETT-CAMERON TRADING LTD|4813805|CA47733C2076|-7.8529|11.4929|250000|BBG000BKNVV4|
JD|USD|JD.COM INC-ADR|152486141|XXXXXXXP1066|3.3510|0.2891|>10000000|BBG005YHY0Q7|
JDEPY|USD|JDE PEETS BV - UNSP ADR|453419079|XXXXXXXQ1031|-4.6930|8.3330|7000|BBG00Y1C4GW2|
JDHIY|USD|JD HEALTH INTERNA UNSP - ADR|468048819|XXXXXXXG1058|3.3618|0.2782|1000|BBG00Z17VTK5|
JDOC|USD|JPMORGAN HEALTHCARE LEAD ETF|663593005|XXXXXXXQ7658|-10.7216|14.3616|3000|BBG01JNQF221|
JDSPY|USD|JD SPORTS FASHION PLC-UN ADR|227257629|XXXXXXXQ1094|2.1601|1.4799|10000|BBG00CGDXLK2|
JDST|USD|DIREXION DAILY JUNIOR GOLD M|707875866|XXXXXXXA5772|-8.1436|11.7836|1100000|BBG005CM7H38|
JDVI|USD|JH DISC. VALUE INT SELECT|673664465|XXXXXXXJ7274|-12.3522|15.9922|30000|BBG01KK41WL8|
JDZG|USD|JIADE LTD CL-A|793649949|KYG7396L1115|-29.1338|32.7738|60000|BBG01KS9GK84|
JEF|USD|JEFFERIES FINANCIAL GROUP IN|318911976|XXXXXXXW1099|3.3510|0.2891|2900000|BBG000BNHSP9|
JELD|USD|JELD-WEN HOLDING INC|263852212|XXXXXXXP1030|3.2156|0.4244|1100000|BBG0019GM953|
JEM|USD|707 CAYMAN HOLDINGS LTD|790162701|KYG8071C1033|-76.5511|80.1911|150000|BBG01PM33DR1|
JEMA|USD|JPMORGAN ACTIVEBUILDERS EMER|476061807|XXXXXXXQ2663|-9.5414|13.1814|450000|BBG00Z6Q89Q2|
JEMG|USD|JAGGED EDGE MTM|46627220|XXXXXXX22070|3.3900|0.2500|100||
JENA|USD|JENA ACQUISITION CORP II - A|799138460|KYG5093B1059|2.4200|1.2200|2300000|BBG01V9XZP13|
JENA U|USD|JENA ACQUISITION CORP II|787755303|KYG5093B1216|2.4038|1.2362|500|BBG01TYMMMX0|
JEPI|USD|JPMORGAN EQUITY PREMIUM INCO|423216410|XXXXXXXQ3323|2.6790|0.9610|650000|BBG00TSG0RS0|
JEPQ|USD|JPM NASDAQ EQUITY PREMIUM|559931479|XXXXXXXQ2030|2.4361|1.2039|1200000|BBG016NKZDL5|
JETD|USD|MAX -3X INVERSE LEVERAGED|638362078|XXXXXXX94846|-1.6046|5.2446|15000|BBG01GWQHJH2|
JETMF|USD|GLOBAL CROSSING AIRLINES GRO|502252281|XXXXXXXG4010|-9.8238|13.4638|950000|BBG000JZBR45|
JETR|USD|STAR JETS INTERNATIONAL INC|306536579|XXXXXXX01099|3.3900|0.2500|750000|BBG000C48H83|
JETS|USD|US GLOBAL JETS ETF|192643858|XXXXXXXA8421|-1.1305|4.7705|400000|BBG008LT6106|
JETU|USD|MAX AIRLINES 3X LEVERAGED|638362082|XXXXXXX94929|-7.2034|10.8434|100|BBG01GWQNZ16|
JEWL|USD|ADAMAS ONE CORP|597691625|XXXXXXXH1014|-22.2972|25.9372|300000|BBG00MS928N6|
JFB|USD|JFB CONSTRUCTION HOLDIN-CL A|766500054|XXXXXXXE1073|-65.9244|69.5644|300|BBG01QRB5813|
JFBC|USD|JEFFERSONVILLE BANCORP-N Y|4813820|XXXXXXXA1034|-2.8771|6.5171|20000|BBG000BCPFB7|
JFBR|USD|JEFFS BRANDS LTD|791759984|IL0011808354|-168.8008|172.4408|100000|BBG015HK85R5|
JFIL|USD|JUBILANT FLAME INTERNATIONAL|195426171|XXXXXXXW1062|3.3900|0.2500|10000|BBG001MN21V3|
JFIN|USD|JIAYIN GROUP INC-ADR|365606136|XXXXXXXC1045|2.8048|0.8352|550000|BBG00MV5JPY2|
JFLI|USD|JPMORGAN FLEXIBLE INCOME ETF|760773324|XXXXXXXQ6411|-76.4834|80.1234|700|BBG01S4LMRT1|
JFLX|USD|JPMORGAN FLEXIBLE DEBT ETF|817976202|XXXXXXXQ5595|-0.0410|3.6810|4000|BBG01X2PHNN4|
JFR|USD|NUVEEN FLOATING RATE INCOME|28828789|XXXXXXXT1088|1.0068|2.6332|2000000|BBG000JS9VM5|
JFTH|USD|JAPAN FOOD TECH HOLDINGS INC|588389172|XXXXXXXD2062|3.3900|0.2500|150000|BBG000BJCHK2|
JFU|USD|9F INC - ADR|608473700|XXXXXXXR2085|-0.4221|4.0621|100000|BBG00JH7WJL4|
JG|USD|AURORA MOBILE LTD-ADR|670519106|XXXXXXX72096|-5.1098|8.7498|100000|BBG00LBL86W7|
JGCCY|USD|JGC HOLDINGS CORP-UNSPON ADR|54741092|XXXXXXX01004|3.3900|0.2500|600|BBG000G0WXH5|
JGH|USD|NUVEEN GLOBAL HIGH INCOME|174083995|XXXXXXXG1031|-1.5912|5.2312|250000|BBG007K9HBW4|
JGLDF|USD|JAPAN GOLD CORP|256681304|CA4710821071|0.9570|2.6830|200000|BBG0042YXPT1|
JGLO|USD|JPMORGAN GLBL SLCT EQ ETF|653757705|XXXXXXXQ7401|1.0640|2.5760|100000|BBG01J1LP430|
JGRO|USD|JPMORGAN ACTIVE GROWTH ETF|578413058|XXXXXXXQ6098|2.4998|1.1402|500000|BBG018R2GM74|
JGRW|USD|JENSEN QUALITY GROWTH ETF|722303856|XXXXXXXG5624|-12.8665|16.5065|3000|BBG01P7FWPV7|
JHAI|USD|JANUS HEN GLOBAL AI ETF|808619672|XXXXXXXU6709|-0.3573|3.9973|900|BBG01WNMNKV0|
JHCB|USD|JOHN HANCOCK CORPORATE BOND|479630105|XXXXXXXJ8181|-2.3880|6.0280|70000|BBG00ZSD82B8|
JHCP|USD|JHANCOCK CORE PLUS BOND ETF|748617298|XXXXXXXJ6854|NA|NA|4000|BBG01R71CNM1|
JHEM|USD|JOHN HANCOCK MULTI EM MRK ET|335460261|XXXXXXXJ8348|-0.0319|3.6719|100|BBG00M3PLZ74|
JHG|USD|JANUS HENDERSON GROUP PLC|277376628|JE00BYPZJM29|3.2075|0.4325|3800000|BBG00GSNPM07|
JHI|USD|JOHN HANCOCK INVESTORS TR|8691|XXXXXXX21034|1.7272|1.9128|40000|BBG000BBCFB3|
JHMB|USD|JOHN HANCOCK MORTGAGE-BACKED|508811014|XXXXXXXJ7928|-1.2169|4.8569|15000|BBG0121D16F3|
JHMM|USD|JOHN HANCOCK MULTI FACT MID|208317018|XXXXXXXJ2069|0.1944|3.4456|3000|BBG00B2MF4S9|
JHPI|USD|JOHN HANCOCK PREFERRED INCOM|532646875|XXXXXXXJ7761|-67.0905|70.7305|9000|BBG014248233|
JHS|USD|JOHN HANCOCK INCOME SEC TR|8697|XXXXXXX31037|0.6785|2.9615|15000|BBG000BB2N81|
JHX|USD|JAMES HARDIE IND PLC|794909199|IE000R94NGM2|3.3510|0.2891|1500000|BBG000C1HL99|
JIDG|USD|JOYMAIN INTERNATIONAL DEVELO|181700278|XXXXXXXQ1013|-1.2497|4.8897|150000||
JIG|USD|JPMORGAN INTERNATIONAL GROWT|423216415|XXXXXXXQ3240|-5.5855|9.2255|25000|BBG00TSG1FP8|
JILL|USD|J. JILL INC|453590733|XXXXXXXW2017|3.2259|0.4141|65000|BBG00FZBYDS7|
JIRE|USD|JPMORGAN INT RES ENH EQTY|566841782|XXXXXXXQ1343|-1.3787|5.0187|1800000|BBG016CBQTR6|
JIVE|USD|JPM INTERNTL VALUE ETF|653757708|XXXXXXXQ7575|-32.8677|36.5077|55000|BBG01J1R8GQ4|
JJSF|USD|J &amp; J SNACK FOODS CORP|270864|XXXXXXX21096|3.3448|0.2952|400000|BBG000BMGPW0|
JKHY|USD|JACK HENRY &amp; ASSOCIATES INC|270869|XXXXXXX11015|3.3900|0.2500|600000|BBG000BMH2Q7|
JKS|USD|JINKOSOLAR HOLDING CO-ADR|72529744|XXXXXXXT1007|3.2276|0.4124|1000000|BBG000Q72QF9|
JKSM|USD|JACKSAM CORP|342700971|XXXXXXXD1072|3.3900|0.2500|1200000|BBG000DC1006|
JL|USD|J-LONG GROUP LTD-A|806289080|KYG5191U1206|-40.5449|44.1849|25000|BBG01K3F74V7|
JLHL|USD|JULONG HOLDING LTD|794922960|KYG5500K1022|-42.3858|46.0258|400|BBG01T4SSQM7|
JLL|USD|JONES LANG LASALLE INC|6608072|XXXXXXXQ1076|3.2319|0.4081|700000|BBG000C2L2L0|
JLMCQ|USD|JLM COUTURE INC|4813825|XXXXXXXE1010|3.3900|0.2500|300|BBG000JFPYT2|
JLS|USD|NUVEEN MORTGAGE &amp; INCOME|70600179|XXXXXXX51093|-13.4677|17.1077|50000|BBG000PVBGM1|
JMBS|USD|JANUS HENDERSON MORTG BACKED|333130749|XXXXXXXU8523|2.9450|0.6950|100000|BBG00LYBQRR4|
JMEE|USD|JPM SMA &amp; MID CAP EN EQ ET-U|560578187|XXXXXXXQ1186|0.8436|2.7964|300000|BBG016CBQD19|
JMG|USD|JM GROUP LTD|837482725|VGG5146R1073|-9.6027|13.2427|150000|BBG01WNMLL77|
JMHI|USD|JPMORGAN HIGH YIELD MUNICPL|642161560|XXXXXXXQ7997|-6.8462|10.4862|10000|BBG01H50H4S8|
JMHLY|USD|JARDINE MATHESON HD-UNSP ADR|48767339|XXXXXXX54025|1.1408|2.4992|15000|BBG000BWC690|
JMIA|USD|JUMIA TECHNOLOGIES AG-ADR|360310571|XXXXXXXM1053|2.5609|1.0791|850000|BBG00NKZF9N8|
JMIH|USD|JUPITER MARINE INTL HOLDINGS|30412004|XXXXXXXQ1031|3.3900|0.2500|15000|BBG000C0MN82|
JMM|USD|NUVEEN MULTI-MARKET INCOME|164935063|XXXXXXXJ1079|-18.4344|22.0744|20000|BBG000BRNV30|
JMOM|USD|JPMORGAN US MOMENTUM FACTOR|295518913|XXXXXXXQ7795|-4.4842|8.1242|45000|BBG00J5DRXL9|
JMON|USD|JAMES MONROE CAPITAL CORP|48979445|XXXXXXXP2056|3.3900|0.2500|>10000000|BBG000BDFN47|
JMPLY|USD|JOHNSON MATTHEY PLC-SPON ADR|218459143|XXXXXXX25071|-0.7084|4.3484|1000|BBG000BZT8Z2|
JMSB|USD|JOHN MARSHALL BANCORP INC|268332793|XXXXXXXL1017|1.7073|1.9327|150000|BBG000LM3ZW1|
JMSI|USD|JPM SUS MUNICIPAL INCOME|642161565|XXXXXXXQ8151|-0.4623|4.1023|15000|BBG01H50MFN2|
JMST|USD|JPM ULTRA-SHORT MUNI INCOME|337739817|XXXXXXXQ6540|1.5919|2.0481|15000|BBG00M8D23F9|
JMUB|USD|JPMORGAN MUNICIPAL ETF|339974442|XXXXXXXQ6474|-4.5932|8.2332|350000|BBG00M8D47T3|
JNCCF|USD|METALITE RESOURCES INC|803002309|CA5912363028|3.3900|0.2500|7000|BBG00TLBY2K4|
JNEU|USD|ALLIANZIM US BF15 UNCAP JUN|707171168|XXXXXXXH5880|-15.3222|18.9622|200|BBG01N08W7J9|
JNHMF|USD|JACK NATHAN MEDICAL CORP|483635727|CA4663771083|3.3900|0.2500|200000|BBG00XXY0MJ7|
JNJ|USD|JOHNSON &amp; JOHNSON|8719|XXXXXXX01046|3.3510|0.2891|>10000000|BBG000BMHYD1|
JNK|USD|SS SPDR BB HIGH YIELD BOND|356312840|XXXXXXXR6229|3.1065|0.5335|500000|BBG000NXDKM8|
JNPC|USD|JUNIPER CONTENT CORP|42725240|XXXXXXXW1036|3.3900|0.2500|1000||
JNSH|USD|JNS HOLDINGS CORP|102436107|XXXXXXXM1027|3.3900|0.2500|2100000|BBG000M9ZTR4|
JNUG|USD|DIREXION DAILY JUNIOR GOLD M|416854773|XXXXXXXG8318|-3.7874|7.4274|100000|BBG005CM7G67|
JOB|USD|GEE GROUP INC|240492681|XXXXXXXA1025|3.2181|0.4219|4800000|BBG000BMJ9R9|
JOBX|USD|TRADR 2X LNG JOBY DLY ETF|813051591|XXXXXXXD6408|-4.8322|8.4722|45000|BBG01X3QTY81|
JOBY|USD|JOBY AVIATION INC|507188246|KYG651631007|3.3154|0.3246|3900000|BBG00X2MYTC2|
JOE|USD|ST JOE CO-THE|12170|XXXXXXX81009|3.2301|0.4099|2000000|BBG000D6TC94|
JOET|USD|VIRTUS TERRANOVA US QUAL MOM|455801532|XXXXXXXA5048|-3.7854|7.4254|20000|BBG00Y6DQMR4|
JOEY|USD|JOEY NEW YORK INC|242560073|XXXXXXXX1090|3.3900|0.2500|1500000|BBG002Y6J5Z4|
JOF|USD|JAPAN SMALLER CAPITALIZATION|8731|XXXXXXXU1043|-1.0831|4.7231|1700000|BBG000C3RYK3|
JOJO|USD|ATAC CREDIT ROTATION ETF|503146652|XXXXXXX46522|3.3900|0.2500|2000|BBG011VCQPT0|
JORFF|USD|CONSOLIDATED LITHIUM METALS|639336245|CA2094161064|0.2231|3.4169|300000|BBG000Q4YFL8|
JOUT|USD|JOHNSON OUTDOORS INC-A|14487943|XXXXXXX71088|3.3510|0.2891|200000|BBG000HCXFS4|
JOYT|USD|JPMORGAN EQ AND OPTIN TR ETF|807655630|XXXXXXXQ5678|0.0191|3.6209|200|BBG01VRR6LK6|
